id,name,longName,displayName,displayCode,x,y,LaneType,LaneName,LaneShort
11432,원곡,원곡역 서해선,원곡역,S27,126.7957181,37.313153,114,서해선,서해
11433,원시,원시역 서해선,원시역,S28,126.7867872,37.3025729,114,서해선,서해
11511,양촌,양촌역 김포골드라인,양촌역,G100,126.6148276,37.6416449,115,김포골드라인,김포골드
11512,구래,구래역 김포골드라인,구래역,G101,126.6287076,37.6453969,115,김포골드라인,김포골드
11513,마산,마산역 김포골드라인,마산역,G102,126.6445072,37.6408135,115,김포골드라인,김포골드
11514,장기,장기역 김포골드라인,장기역,G103,126.6691099,37.6441705,115,김포골드라인,김포골드
11515,운양,운양역 김포골드라인,운양역,G104,126.6838489,37.6538667,115,김포골드라인,김포골드
11516,걸포북변,걸포북변역 김포골드라인,걸포북변역,G105,126.7057322,37.6316502,115,김포골드라인,김포골드
11517,사우(김포시청),사우(김포시청)역 김포골드라인,사우(김포시청)역,G106,126.7198386,37.6203107,115,김포골드라인,김포골드
11518,풍무,풍무역 김포골드라인,풍무역,G107,126.7326928,37.6122941,115,김포골드라인,김포골드
11519,고촌,고촌역 김포골드라인,고촌역,G108,126.7702144,37.6013994,115,김포골드라인,김포골드
11520,김포공항,김포공항역 김포골드라인,김포공항역,G109,126.8026246,37.5622872,115,김포골드라인,김포골드
20110,계양,계양역 인천1호선,계양역,I110,126.736411,37.5714532,21,인천1호선,인천1
20111,귤현,귤현역 인천1호선,귤현역,I111,126.7424923,37.5666362,21,인천1호선,인천1
20112,박촌,박촌역 인천1호선,박촌역,I112,126.7449949,37.553537,21,인천1호선,인천1
20113,임학,임학역 인천1호선,임학역,I113,126.738672,37.5450986,21,인천1호선,인천1
20114,계산,계산역 인천1호선,계산역,I114,126.7281452,37.5433016,21,인천1호선,인천1
20115,경인교대입구,경인교대입구역 인천1호선,경인교대입구역,I115,126.7226228,37.5381803,21,인천1호선,인천1
20116,작전,작전역 인천1호선,작전역,I116,126.7225326,37.530291,21,인천1호선,인천1
20117,갈산,갈산역 인천1호선,갈산역,I117,126.7215587,37.5170688,21,인천1호선,인천1
20118,부평구청,부평구청역 인천1호선,부평구청역,I118,126.7205867,37.5084365,21,인천1호선,인천1
20119,부평시장,부평시장역 인천1호선,부평시장역,I119,126.7222774,37.4984557,21,인천1호선,인천1
20120,부평,부평역 인천1호선,부평역,I120,126.7234918,37.4904123,21,인천1호선,인천1
20121,동수,동수역 인천1호선,동수역,I121,126.718399,37.4854209,21,인천1호선,인천1
20122,부평삼거리,부평삼거리역 인천1호선,부평삼거리역,I122,126.7104676,37.4782817,21,인천1호선,인천1
20123,간석오거리,간석오거리역 인천1호선,간석오거리역,I123,126.7079019,37.4669093,21,인천1호선,인천1
20124,인천시청,인천시청역 인천1호선,인천시청역,I124,126.7022161,37.4576187,21,인천1호선,인천1
20125,예술회관,예술회관역 인천1호선,예술회관역,I125,126.7010064,37.4492006,21,인천1호선,인천1
20126,인천터미널,인천터미널역 인천1호선,인천터미널역,I126,126.699675,37.4419043,21,인천1호선,인천1
20127,문학경기장,문학경기장역 인천1호선,문학경기장역,I127,126.6983415,37.4349599,21,인천1호선,인천1
