x,y
126.8948904,37.4933931
126.8911141,37.5086564
126.8948029,37.5180068
126.8965645,37.525469
126.9026823,37.5348752
126.9145231,37.5499346
126.9240194,37.5570156
126.9368495,37.5551833
126.9462596,37.5567836
126.956132,37.5573879
126.9643319,37.5596923
127.0508534,37.5621786
127.0470955,37.5698004
127.0252716,37.5746144
127.0385474,37.5739644
126.8826425,37.5144737
126.8656677,37.5123852
126.852868,37.5202337
126.8469288,37.5314047
126.7474418,37.6761523
126.7612443,37.6701481
126.7732713,37.6597196
126.7776556,37.6521938
126.788066,37.6430297
126.8110438,37.6316395
126.8326335,37.6346429
126.8429853,37.6532599
126.8955766,37.6531047
126.9137646,37.6481232
126.9188488,37.6365904
126.9211924,37.619062
126.9302369,37.6100758
126.9357799,37.6008786
126.9441135,37.5888028
126.9502664,37.5825064
126.9579154,37.5744571
126.9735674,37.5758787
126.9854905,37.5765649
126.9918423,37.5716572
126.992629,37.5663875
126.9947283,37.5609968
127.005635,37.559078
127.0110008,37.5543465
127.0158006,37.5482794
127.0173742,37.5416086
127.0285128,37.5263302
127.0204019,37.5164842
127.0116295,37.512967
127.0049754,37.5049056
127.0138201,37.4930313
127.0162878,37.4849169
127.034022,37.4845573
127.0469211,37.4870378
127.0553491,37.4908923
127.0634417,37.4945866
127.0705794,37.4966981
127.0795408,37.493608
127.0840634,37.4838708
127.102153,37.487477
127.1176925,37.4922197
127.1242116,37.495702
127.1288285,37.5026892
126.8731879,37.6507346
127.0791285,37.6703413
127.0733408,37.6607073
127.0634132,37.6563653
127.0479675,37.6532513
127.0347017,37.6485878
127.0254732,37.637828
127.0261186,37.6264529
127.030097,37.6132608
127.0249589,37.6032454
127.0165388,37.592709
127.0062053,37.5884819
127.0018932,37.58217
127.0091161,37.5711345
127.0078233,37.5651518
126.994207,37.5612691
126.9864651,37.5609721
126.9785585,37.5587761
126.9727132,37.5535145
126.9721144,37.5445916
126.9729869,37.5345468
126.9679481,37.529241
126.974396,37.5224265
126.980341,37.5029147
126.982193,37.4868026
